EN,LA,Formal,Article
Bread,Pan,2,el
Water,Agua,2,el
Apple,Manzana,2,la
Days,Días,2,los
Monday,Lunes,2,el
Tuesday,Martes,2,el
Wednesday,Miércoles,2,el
Thursday,Jueves,2,el
Friday,Viernes,2,el
Saturday,Sábado,2,el
Sunday,Domingo,2,el
Months,Meses,2,los
January,Enero,2,none
February,Febrero,2,none
March,Marzo,2,none
April,Abril,2,none
May,Mayo,2,none
June,Junio,2,none
July,Julio,2,none
August,Agosto,2,none
September,Septiembre,2,none
October,Octubre,2,none
November,Noviembre,2,none
December,Diciembre,2,none
Colours,Colores,2,los
Black,Negro,2,none
Blue,Azul,2,none
Brown,Marrón,2,none
Gray,Gris,2,none
Green,Verde,2,none
Orange,Naranja,2,none
Purple,Violeta,2,none
Red,Rojo,2,none
White,Blanco,2,none
Yellow,Amarillo,2,none
Numbers,Números,2,los
One,Una,2,none
Two,Dos,2,none
Three,Tres,2,none
Four,Cuatro,2,none
Five,Cinco,2,none
Six,Seis,2,none
Seven,Siete,2,none
Eight,Ocho,2,none
Nine,Nueve,2,none
Ten,Diez,2,none
Eleven,Once,2,none
Twelve,Doce,2,none
Thirteen,Trece,2,none
Fourteen,Catorce,2,none
Fifteen,Quince,2,none
Sixteen,Dieciséis,2,none
Seventeen,Diecisiete,2,none
Eighteen,Dieciocho,2,none
Nineteen,Diecinueve,2,none
Twenty,Veinte,2,none
Thirty,Treinta,2,none
Forty,Cuarenta,2,none
Fifty,Cincuenta,2,none
Sixty,Sesenta,2,none
Seventy,Setenta,2,none
Eighty,Ochenta,2,none
Ninety,Noventa,2,none
Hundred,Ciento,2,none